Postal Code,ZIP_CIDE,Walk_Score
H1A,H1A 0A1,54
H1A,H1A 0A2,22
H1A,H1A 0A3,4
H1A,H1A 0A4,38
H1A,H1A 0A5,22
H1A,H1A 0A6,22
H1A,H1A 0A7,25
H1A,H1A 0A8,12
H1A,H1A 0A9,19
H1A,H1A 0B1,24
H1A,H1A 0B2,23
H1A,H1A 0B3,40
H1A,H1A 0B4,40
H1A,H1A 0B5,22
H1A,H1A 0B6,13
H1A,H1A 0B7,22
H1A,H1A 0B9,15
H1A,H1A 0C1,73
H1A,H1A 0C2,30
H1A,H1A 0C3,23
H1A,H1A 0C4,27
H1A,H1A 0C5,26
H1A,H1A 0C6,1
H1A,H1A 0C7,51
H1A,H1A 0C8,9
H1A,H1A 0C9,24
H1A,H1A 0E1,9
H1A,H1A 0E3,20
H1A,H1A 0E4,51
H1A,H1A 1A1,3
H1A,H1A 1A2,28
H1A,H1A 1A3,26
H1A,H1A 1A4,30
H1A,H1A 1A5,30
H1A,H1A 1A6,30
H1A,H1A 1A7,26
H1A,H1A 1A8,25
H1A,H1A 1A9,58
H1A,H1A 1B1,56
H1A,H1A 1B2,58
H1A,H1A 1B3,45
H1A,H1A 1B4,15
H1A,H1A 1B6,45
H1A,H1A 1B8,52
H1A,H1A 1B9,71
H1A,H1A 1C2,66
H1A,H1A 1C3,60
H1A,H1A 1C4,46
H1A,H1A 1C5,40
H1A,H1A 1C7,29
H1A,H1A 1C8,26
H1A,H1A 1C9,10
H1A,H1A 1E1,10
H1A,H1A 1E2,23
H1A,H1A 1E3,18
H1A,H1A 1E4,20
H1A,H1A 1E5,20
H1A,H1A 1E6,26
H1A,H1A 1E7,26
H1A,H1A 1E9,71
H1A,H1A 1G2,44
H1A,H1A 1G3,44
H1A,H1A 1G4,42
H1A,H1A 1G5,42
H1A,H1A 1G6,42
H1A,H1A 1G7,38
H1A,H1A 1G8,37
H1A,H1A 1G9,34
H1A,H1A 1H1,34
H1A,H1A 1H2,29
H1A,H1A 1H3,29
H1A,H1A 1H4,29
H1A,H1A 1H5,29
H1A,H1A 1H6,22
H1A,H1A 1H7,23
H1A,H1A 1H8,14
H1A,H1A 1H9,42
H1A,H1A 1J1,18
H1A,H1A 1J2,40
H1A,H1A 1J3,40
H1A,H1A 1J4,40
H1A,H1A 1J5,40
H1A,H1A 1J6,40
H1A,H1A 1J7,40
H1A,H1A 1J8,39
H1A,H1A 1J9,37
H1A,H1A 1K1,37
H1A,H1A 1K2,39
H1A,H1A 1K3,34
H1A,H1A 1K4,34
H1A,H1A 1K5,34
H1A,H1A 1K6,34
H1A,H1A 1K7,31
H1A,H1A 1K8,31
H1A,H1A 1K9,31
H1A,H1A 1L1,31
H1A,H1A 1L2,27
H1A,H1A 1L3,27
H1A,H1A 1L4,25
H1A,H1A 1L5,27
H1A,H1A 1L6,25
H1A,H1A 1L7,27
H1A,H1A 1L8,21
H1A,H1A 1L9,12
H1A,H1A 1M1,21
H1A,H1A 1M2,46
H1A,H1A 1M3,39
H1A,H1A 1M4,46
H1A,H1A 1M5,31
H1A,H1A 1M6,29
H1A,H1A 1M7,29
H1A,H1A 1M8,32
H1A,H1A 1M9,20
H1A,H1A 1N1,23
H1A,H1A 1N2,23
H1A,H1A 1N3,28
H1A,H1A 1N4,31
H1A,H1A 1N5,31
H1A,H1A 1N6,33
H1A,H1A 1N7,32
H1A,H1A 1N8,32
H1A,H1A 1N9,32
H1A,H1A 1P1,30
H1A,H1A 1P2,30
H1A,H1A 1P3,26
H1A,H1A 1P4,26
H1A,H1A 1P5,22
H1A,H1A 1P6,22
H1A,H1A 1P7,22
H1A,H1A 1P8,19
H1A,H1A 1P9,15
H1A,H1A 1R1,20
H1A,H1A 1R2,8
H1A,H1A 1R3,22
H1A,H1A 1R4,24
H1A,H1A 1R5,22
H1A,H1A 1R6,20
H1A,H1A 1R7,20
H1A,H1A 1R8,20
H1A,H1A 1R9,5
H1A,H1A 1S1,10
H1A,H1A 1S2,10
H1A,H1A 1S3,6
H1A,H1A 1S4,7
H1A,H1A 1S5,11
H1A,H1A 1S6,11
H1A,H1A 1S7,7
H1A,H1A 1S8,10
H1A,H1A 1S9,12
H1A,H1A 1T1,21
H1A,H1A 1T2,12
H1A,H1A 1T3,15
H1A,H1A 1T4,21
H1A,H1A 1T5,48
H1A,H1A 1T6,24
H1A,H1A 1T7,28
H1A,H1A 1T8,33
H1A,H1A 1T9,32
H1A,H1A 1V1,27
H1A,H1A 1V2,30
H1A,H1A 1V3,24
H1A,H1A 1V4,21
H1A,H1A 1V5,24
H1A,H1A 1V6,18
H1A,H1A 1V7,18
H1A,H1A 1V8,16
H1A,H1A 1V9,15
H1A,H1A 1W1,11
H1A,H1A 1W2,12
H1A,H1A 1W3,12
H1A,H1A 1W4,20
H1A,H1A 1W5,10
H1A,H1A 1W6,11
H1A,H1A 1W7,19
H1A,H1A 1W8,21
H1A,H1A 1W9,21
H1A,H1A 1X1,23
H1A,H1A 1X2,23
H1A,H1A 1X3,24
H1A,H1A 1X4,24
H1A,H1A 1X5,24
H1A,H1A 1X6,24
H1A,H1A 1X7,7
H1A,H1A 1X8,7
H1A,H1A 1X9,22
H1A,H1A 1Y1,21
H1A,H1A 1Y2,15
H1A,H1A 1Y3,22
H1A,H1A 1Y4,15
H1A,H1A 1Y5,15
H1A,H1A 1Y6,7
H1A,H1A 1Y7,7
H1A,H1A 1Y8,19
H1A,H1A 1Y9,19
H1A,H1A 1Z1,15
H1A,H1A 1Z2,19
H1A,H1A 1Z3,15
H1A,H1A 1Z4,18
H1A,H1A 1Z5,9
H1A,H1A 1Z9,19
H1A,H1A 2A3,23
H1A,H1A 2A4,9
H1A,H1A 2A5,9
H1A,H1A 2A6,9
H1A,H1A 2A7,17
H1A,H1A 2A8,21
H1A,H1A 2A9,19
H1A,H1A 2B1,21
H1A,H1A 2B2,22
H1A,H1A 2B3,22
H1A,H1A 2B4,22
H1A,H1A 2B6,11
H1A,H1A 2B7,12
H1A,H1A 2B8,15
H1A,H1A 2B9,15
H1A,H1A 2C1,16
H1A,H1A 2C2,15
H1A,H1A 2C3,19
H1A,H1A 2C4,19
H1A,H1A 2C5,15
H1A,H1A 2C6,12
H1A,H1A 2C7,15
H1A,H1A 2C9,18
H1A,H1A 2E1,18
H1A,H1A 2E2,18
H1A,H1A 2E3,17
H1A,H1A 2E4,17
H1A,H1A 2E5,21
H1A,H1A 2E6,17
H1A,H1A 2E7,20
H1A,H1A 2E8,21
H1A,H1A 2E9,21
H1A,H1A 2G1,17
H1A,H1A 2G2,20
H1A,H1A 2G3,24
H1A,H1A 2G4,15
