Numero,Poste,Nom du Poste,Address
1,Poste de quartier 1,"Baie-D'Urfé, Beaconsfield, Kirkland, Sainte-Anne-de-Bellevue, Senneville","2883, boul. Saint-Charles"
3,Poste de quartier 3,"L'Île-Bizard, Pierrefonds, Sainte-Geneviève, Roxboro","14 680, boul. de Pierrefonds"
4,Poste de quartier 4,Dollard-Des Ormeaux,"4139, boul. des Sources"
5,Poste de quartier 5,"Dorval, L'Île-Dorval, Pointe-Claire","395, boul. Saint-Jean"
7,Poste de quartier 7,Saint-Laurent,"1761, rue Grenet"
8,Poste de quartier 8,"Lachine, Saint-Pierre","170, 15e Avenue"
9,Poste de quartier 9,"Côte Saint-Luc, Hampstead, Montréal-Ouest",5501 Av Westminster
10,Poste de quartier 10,"Bordeaux, Cartierville","11756, boul. O’Brien"
11,Poste de quartier 11,Notre-Dame-de-Grâce,"6255, rue Somerled"
12,Poste de quartier 12,"Ville-Marie Ouest, Westmount","21, rue Stanton"
13,Poste de quartier 13,LaSalle,"8745, boul. LaSalle"
15,Poste de quartier 15,"Saint-Paul, Petite-Bourgogne, Pointe-Saint-Charles, Saint-Henri, Ville-Émard","1625, avenue de l’Église"
16,Poste de quartier 16,"Île-des-Sœurs, Verdun","750, rue Willibrord"
20,Poste de quartier 20,"Centre-ville (Ville-Marie Ouest), parc du Mont-Royal",1432 Ste-Catherine ouest
21,Poste de quartier 21,"Centre-ville (Ville-Marie Est), île Notre-Dame, île Sainte-Hélène, Vieux-Montréal","1669, rue Berri"
22,Poste de quartier 22,Centre-Sud,"1200, av. Papineau"
23,Poste de quartier 23,Hochelaga-Maisonneuve,"4555, rue Hochelaga"
26,Poste de quartier 26,"Côte-des-Neiges, Mont-Royal, Outremont","7405, av. Mountain Sights"
27,Poste de quartier 27,Ahuntsic,"1805, rue Fleury Est"
30,Poste de quartier 30,Saint-Michel,"8930, boul. Pie-IX"
31,Poste de quartier 31,Villeray,"7920, boul. Saint-Laurent"
33,Poste de quartier 33,Parc-Extension,"570, avenue Beaumont"
35,Poste de quartier 35,"La Petite-Italie, La Petite-Patrie, Outremont (3 rues)","920, rue Bélanger"
38,Poste de quartier 38,Le Plateau-Mont-Royal,"1033, rue Rachel Est"
39,Poste de quartier 39,Arrondissement de Montréal-Nord,"6100, boul. Henri-Bourassa Est"
42,Poste de quartier 42,Saint-Léonard,"8181, boul. Lacordaire"
44,Poste de quartier 44,Rosemont - La Petite-Patrie,"4807, rue Molson"
45,Poste de quartier 45,Rivière-des-Prairies,"8200, boul. Maurice-Duplessis"
46,Poste de quartier 46,Anjou,"6850, boul. Joseph-Renaud"
48,Poste de quartier 48,Arrondissement de Mercier—Hochelaga-Maisonneuve,"5646, rue Hochelaga"
49,Poste de quartier 49,"Ville de Montréal-Est, Pointe-aux-Trembles","1498, boul. Saint-Jean-Baptiste"
50,Poste de quartier 50,Métro de Montréal,"888, boul. de Maisonneuve Est"
55,Poste de quartier 55,Aéroport international Pierre-Elliott-Trudeau de Montréal,"975, boulevard Roméo-Vachon nord"
