,type,bedroom,bathroom,size(sqft),address,price,lat,long,url
0,Appartement,4 1/2,1,870,"68 Rue Villeneuve E, Montréal, QC H2T 1K9, Canada",1 275,45.5222553,-73.5885233,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-renove-semi-meuble/1580111604
1,Appartement,3 1/2,1,775,"4982 Chem. Queen Mary, Montréal, QC H3W 1Y5, Canada",1 145,45.4858196,-73.6268845,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/amazing-updated-huge-3-1-2-1-bedroom-bright-renovated-art/1569559630
2,Appartement, 3 1/2 et coin détente,1,700,"537 Av. Émile Legrand, Montréal, QC H1N 3H3, Canada",750,45.5788955,-73.5146099,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifique-3-1-2-libre-immediatement/1581607866
3,Appartement,3 1/2,1,770,"220 rue Berlioz, Verdun, QC, H3E 1B8",1 199,45.4584496,-73.5473028,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-a-louer-iles-des-soeurs-nuns-island-220-rue-berlioz/1520363948
4,Appartement,4 1/2,1,1,"3485 Av. Ellendale, Montréal, QC H3S 1W8, Canada",1 330,45.5005971,-73.6287092,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-renove-electros-inox-renovated-2-bedroom/1564742710
5,Appartement,3 1/2,1,590,"H3H2N8, Canada",1 270,45.4935402,-73.5829282,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/31-2-lease-transfer-1270/1582250520
6,Appartement,3 1/2,1,609,"8325 Ave Christophe-Colomb, Montreal, QC H2P, Canada",1 365,45.5496025,-73.62684,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appart-3-1-2-neuf-a-louer-pour-l-hiver-21-22-a-villeray/1580629521
7,Appartement, 1 ½ ou 2 ½,1,Non,"3455 Côte-des-Neiges, Montreal, QC, H3H 1T6",900,45.5021017,-73.5788712,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-studio-a-louer-1-1-2-2-1-2-tout-inclus-guy-concordia/1512462938
8,Appartement, 1 ½ ou 2 ½,1,Non,"3555, rue Berri, Montreal, QC, H2L 4G4",895,45.5187546,-73.5680084,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-1-1-2-a-louer-plateau-mont-royal-tout-inclus-balcon/1535497757
9,Appartement,4 1/2,2,Non,"3455 Côte-des-Neiges, Montreal, QC, H3H 1T6",1 575,45.5021017,-73.5788712,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-4-1-2-a-louer-metro-guy-concordia-tout-inclus/1505830104
10,Appartement,3 1/2,1,Non,"3555, rue Berri, Montreal, QC, H2L 4G4",1 240,45.5187546,-73.5680084,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-3-1-2-a-louer-plateau-mont-royal-tout-inclus-balcon/1505830077
11,Appartement, 1 ½ ou 2 ½,1,Non,"3475 Saint-Urbain, Montreal, QC, H2X 2N4",865,45.5117408,-73.5709462,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/centre-ville-plateau-metro-place-des-arts-a-louer-1-1-2-2-1-2/1505830101
12,Appartement,4 1/2,2,968,"8300 Boulevard du St Laurent, Brossard, QC J4X 0B7, Canada",2 406,45.4496699,-73.4949248,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/4-1-2-a-louer-bord-de-leau/1582186034
13,Appartement, 5 1/2 et coin détente,2.5,1 800,"398 Ave. Skaniatarati, Lachine, QC H8S 0A1, Canada",2 200,45.4384512,-73.6620639,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-2-to-rent/1582248951
14,Appartement,5 1/2,2,1 230,"3620, boulevard Saint-Elzéar Ouest, Laval, QC, H7M 1E2",2 170,45.5697522,-73.7726033,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/5-1-2-appartement-neuf-a-louer-a-laval/1575597280
