,type,bedroom,bathroom,size(sqft),address,price,Postal Code,lat,long,url
0,Appartement, 1 ½ ou 2 ½,1,325,"80 Av. des Pins, Montréal, QC H2W 1R1, Canada",1 000,H2W,45.5141,-73.57566,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studios-a-louer-tout-inclus-studios-for-rent-all-included/1573933564
1,Appartement,4 1/2,1,880,"Rue Sherbrooke E, Montréal, QC H2L 1L8, Canada",1 575,H2L,45.52225,-73.56557,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-5-pour-le-1er-octobre-avec-un-a-c-14000btu-neuf-a-donner/1579213363
2,Appartement,4 1/2,1,Non,"1445 Ouimet St, Saint-Laurent, QC, H4L 3R2",1 045,H4L,45.51875,-73.68765,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/2-bedroom-apartment-for-rent-get-1-month-free/1571153837
3,Appartement,4 1/2,1,Non,"688 Rue Notre-Dame Ouest, Montreal, QC, H3W 1J4",1 900,H3C,45.50011,-73.55975,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-condo-griffintown-old-port-2-months-free/1505844409
4,Appartement,4 1/2,1,Non,"6920-40 De L' Épée, Montreal, QC, H3N 2E1",890,H3N,45.52695,-73.62076,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/super-4-1-2-de-l-epee-parc-extension/1562064046
5,Appartement, 1 ½ ou 2 ½,1,350,", Montréal H2J 2M5 QC, Canada",535,H2J,45.52908,-73.59548,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/rue-st-denis-studio-demi-sous-sol-frais-peint/1582657175
6,Appartement,4 1/2,1,850,"1525 Av Victoria, Saint-Lambert, QC J4R 1R6, Canada",1 109,J4V,45.48846,-73.49115,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/appartement-4-1-2-chien-accepte-rez-de-chausse/1582656990
7,Appartement,3 1/2,1,800,"H1T3J2, Canada",880,H1T,45.5665,-73.57878,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/impeccable-3-1-2-a-louer-dans-rosemont-chauffage-inclus/1582656912
8,Appartement,3 1/2,1,500,"1935 Rue Tupper, Montréal, QC H3H 1N6, Canada",1 175,H3H,45.49191,-73.58015,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/downtown-montreal-renovated-3-1-2-all-inclusive-apt-3/1557370999
9,Appartement,3 1/2,1,Non disponible,"1035 Rue Des Francs-Bourgeois, Boisbriand, QC, J7H1M9",1 220,J7H,45.62736,-73.85412,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/3-1-2-condominium-de-qualite-superieure-a-boisbriand/1544935655
10,Appartement,4 1/2,1,900,"1035 Rue Des Francs-Bourgeois, Boisbriand, QC, J7H1M9",1 705,J7H,45.62736,-73.85412,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-condominium-de-qualite-superieure-a-boisbriand/1544935653
11,Appartement,4 1/2,2,1 120,"80 Chemin Du Bord-du-Lac-Lakeshore, Pointe-Claire, QC, H9S4H6",2 560,H9S,45.44726,-73.79822,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/4-1-2-2-baths-pointe-claire/1575363393
